From,To,n_played,Region
Kami (Gabriel Bohm Santos) (Gabriel Santos),owN (Marcelo Shiwa),13,CBLOL/Brazil
Minerva (Gustavo Alves),SirT (Thúlio Carlos),18,CBLOL/Brazil
Minerva (Gustavo Alves),Venon (Fabio Guimarães),8,CBLOL/Brazil
Minerva (Gustavo Alves),owN (Marcelo Shiwa),8,CBLOL/Brazil
SirT (Thúlio Carlos),Venon (Fabio Guimarães),8,CBLOL/Brazil
SirT (Thúlio Carlos),owN (Marcelo Shiwa),13,CBLOL/Brazil
Venon (Fabio Guimarães),owN (Marcelo Shiwa),8,CBLOL/Brazil
Digolera (Rodrigo Haddad),Gigante (Kim Gutman),9,CBLOL/Brazil
Digolera (Rodrigo Haddad),Turtle (Gabriel Peixoto),6,CBLOL/Brazil
Digolera (Rodrigo Haddad),element (Arlindo Leal Lana Neto),9,CBLOL/Brazil
Digolera (Rodrigo Haddad),yeTz (Mateus Vieira),9,CBLOL/Brazil
Gigante (Kim Gutman),Turtle (Gabriel Peixoto),6,CBLOL/Brazil
Gigante (Kim Gutman),element (Arlindo Leal Lana Neto),9,CBLOL/Brazil
Gigante (Kim Gutman),yeTz (Mateus Vieira),9,CBLOL/Brazil
Turtle (Gabriel Peixoto),element (Arlindo Leal Lana Neto),6,CBLOL/Brazil
Turtle (Gabriel Peixoto),yeTz (Mateus Vieira),6,CBLOL/Brazil
element (Arlindo Leal Lana Neto),yeTz (Mateus Vieira),16,CBLOL/Brazil
Eryon (Márcio Reis),Fire (Guilherme Bruno),8,CBLOL/Brazil
Eryon (Márcio Reis),Jockster (Luan Cardoso),14,CBLOL/Brazil
Eryon (Márcio Reis),micaO (Micael Rodrigues),13,CBLOL/Brazil
Eryon (Márcio Reis),w0lv (Michel Bruno),8,CBLOL/Brazil
Fire (Guilherme Bruno),Jockster (Luan Cardoso),8,CBLOL/Brazil
Fire (Guilherme Bruno),micaO (Micael Rodrigues),8,CBLOL/Brazil
Fire (Guilherme Bruno),w0lv (Michel Bruno),24,CBLOL/Brazil
Jockster (Luan Cardoso),micaO (Micael Rodrigues),205,CBLOL/Brazil
Jockster (Luan Cardoso),w0lv (Michel Bruno),8,CBLOL/Brazil
micaO (Micael Rodrigues),w0lv (Michel Bruno),8,CBLOL/Brazil
FifoyZ (Felipe Cheida),Floky (Kaoann Martins) (Kaoann Martins),2,CBLOL/Brazil
FifoyZ (Felipe Cheida),RMN (Ramon Gomes),2,CBLOL/Brazil
FifoyZ (Felipe Cheida),Xnove (Marcelo Roma),2,CBLOL/Brazil
FifoyZ (Felipe Cheida),bet0 (Roberto Alves),2,CBLOL/Brazil
Floky (Kaoann Martins) (Kaoann Martins),RMN (Ramon Gomes),2,CBLOL/Brazil
Floky (Kaoann Martins) (Kaoann Martins),Xnove (Marcelo Roma),2,CBLOL/Brazil
Floky (Kaoann Martins) (Kaoann Martins),bet0 (Roberto Alves),2,CBLOL/Brazil
RMN (Ramon Gomes),Xnove (Marcelo Roma),2,CBLOL/Brazil
RMN (Ramon Gomes),bet0 (Roberto Alves),2,CBLOL/Brazil
Xnove (Marcelo Roma),bet0 (Roberto Alves),2,CBLOL/Brazil
Djokovic (Thiago Maia),Jockster (Luan Cardoso),10,CBLOL/Brazil
Djokovic (Thiago Maia),Yang (Felipe Zhao) (Felipe Zhao),20,CBLOL/Brazil
Djokovic (Thiago Maia),micaO (Micael Rodrigues),10,CBLOL/Brazil
Djokovic (Thiago Maia),tockers (Gabriel Claumann),10,CBLOL/Brazil
Jockster (Luan Cardoso),Yang (Felipe Zhao) (Felipe Zhao),162,CBLOL/Brazil
Jockster (Luan Cardoso),tockers (Gabriel Claumann),162,CBLOL/Brazil
Yang (Felipe Zhao) (Felipe Zhao),micaO (Micael Rodrigues),168,CBLOL/Brazil
Yang (Felipe Zhao) (Felipe Zhao),tockers (Gabriel Claumann),172,CBLOL/Brazil
micaO (Micael Rodrigues),tockers (Gabriel Claumann),168,CBLOL/Brazil
Danagorn (Daniel Drummond),Minerva (Gustavo Alves),9,CBLOL/Brazil
LEP (Pedro Luiz Marcari),Minerva (Gustavo Alves),98,CBLOL/Brazil
Minerva (Gustavo Alves),TinOwns (Thiago Sartori),137,CBLOL/Brazil
Minerva (Gustavo Alves),dans (Daniel Dias),18,CBLOL/Brazil
Anjinho (Roberto Buzzoleti),DreamsDY (Thiago Portes),2,CBLOL/Brazil
Anjinho (Roberto Buzzoleti),Kaov (Luigi Mataratzis),2,CBLOL/Brazil
Anjinho (Roberto Buzzoleti),StoneD YoDa (Felipe Noronha),2,CBLOL/Brazil
Anjinho (Roberto Buzzoleti),Tecnosh (Joseph Touma),2,CBLOL/Brazil
DreamsDY (Thiago Portes),Kaov (Luigi Mataratzis),2,CBLOL/Brazil
DreamsDY (Thiago Portes),StoneD YoDa (Felipe Noronha),2,CBLOL/Brazil
DreamsDY (Thiago Portes),Tecnosh (Joseph Touma),2,CBLOL/Brazil
Kaov (Luigi Mataratzis),StoneD YoDa (Felipe Noronha),2,CBLOL/Brazil
Kaov (Luigi Mataratzis),Tecnosh (Joseph Touma),2,CBLOL/Brazil
StoneD YoDa (Felipe Noronha),Tecnosh (Joseph Touma),2,CBLOL/Brazil
Kami (Gabriel Bohm Santos) (Gabriel Santos),Lactea (Han Gi-hyeon (한기현)),5,CBLOL/Brazil
Kami (Gabriel Bohm Santos) (Gabriel Santos),Olleh (Kim Joo-sung (김주성)),5,CBLOL/Brazil
Lactea (Han Gi-hyeon (한기현)),Olleh (Kim Joo-sung (김주성)),5,CBLOL/Brazil
Lactea (Han Gi-hyeon (한기현)),SirT (Thúlio Carlos),5,CBLOL/Brazil
Lactea (Han Gi-hyeon (한기현)),owN (Marcelo Shiwa),5,CBLOL/Brazil
Olleh (Kim Joo-sung (김주성)),SirT (Thúlio Carlos),5,CBLOL/Brazil
Olleh (Kim Joo-sung (김주성)),owN (Marcelo Shiwa),5,CBLOL/Brazil
DRAEK (Rodrigo Oliveira),Digolera (Rodrigo Haddad),3,CBLOL/Brazil
DRAEK (Rodrigo Oliveira),Gigante (Kim Gutman),3,CBLOL/Brazil
DRAEK (Rodrigo Oliveira),element (Arlindo Leal Lana Neto),3,CBLOL/Brazil
DRAEK (Rodrigo Oliveira),yeTz (Mateus Vieira),3,CBLOL/Brazil
Aoshi (Franklin Coutinho),Electro (Lucas Dal Prá),12,CBLOL/Brazil
Aoshi (Franklin Coutinho),Kalec (Rodrigo Rodrigues),25,CBLOL/Brazil
Aoshi (Franklin Coutinho),Nappon (Carlos Rücker),55,CBLOL/Brazil
Aoshi (Franklin Coutinho),Wos (Willyan Bonpam),69,CBLOL/Brazil
Electro (Lucas Dal Prá),Kalec (Rodrigo Rodrigues),12,CBLOL/Brazil
Electro (Lucas Dal Prá),Nappon (Carlos Rücker),12,CBLOL/Brazil
Electro (Lucas Dal Prá),Wos (Willyan Bonpam),12,CBLOL/Brazil
Kalec (Rodrigo Rodrigues),Nappon (Carlos Rücker),12,CBLOL/Brazil
Kalec (Rodrigo Rodrigues),Wos (Willyan Bonpam),81,CBLOL/Brazil
Nappon (Carlos Rücker),Wos (Willyan Bonpam),59,CBLOL/Brazil
7ico (Mateus Garcez),Anjinho (Roberto Buzzoleti),9,CBLOL/Brazil
7ico (Mateus Garcez),Piolho (Alexandre von Flach),9,CBLOL/Brazil
7ico (Mateus Garcez),Rellik (André Guerra),9,CBLOL/Brazil
7ico (Mateus Garcez),prZo (Gabriel Hirota),9,CBLOL/Brazil
Anjinho (Roberto Buzzoleti),Piolho (Alexandre von Flach),15,CBLOL/Brazil
Anjinho (Roberto Buzzoleti),Rellik (André Guerra),15,CBLOL/Brazil
Anjinho (Roberto Buzzoleti),Soulsilver (Rafael Lanna),6,CBLOL/Brazil
Anjinho (Roberto Buzzoleti),prZo (Gabriel Hirota),18,CBLOL/Brazil
Piolho (Alexandre von Flach),Rellik (André Guerra),15,CBLOL/Brazil
Piolho (Alexandre von Flach),Soulsilver (Rafael Lanna),6,CBLOL/Brazil
Piolho (Alexandre von Flach),prZo (Gabriel Hirota),15,CBLOL/Brazil
Rellik (André Guerra),Soulsilver (Rafael Lanna),6,CBLOL/Brazil
Rellik (André Guerra),prZo (Gabriel Hirota),15,CBLOL/Brazil
Soulsilver (Rafael Lanna),prZo (Gabriel Hirota),6,CBLOL/Brazil
Jockster (Luan Cardoso),Revolta (Gabriel Henud),122,CBLOL/Brazil
Revolta (Gabriel Henud),Yang (Felipe Zhao) (Felipe Zhao),188,CBLOL/Brazil
Revolta (Gabriel Henud),micaO (Micael Rodrigues),142,CBLOL/Brazil
Revolta (Gabriel Henud),tockers (Gabriel Claumann),124,CBLOL/Brazil
Oxydrean (Matheus Fidalgo),Riyev (Marcelo Carrara),6,CBLOL/Brazil
Oxydrean (Matheus Fidalgo),TheFoxz (Renato de Souza),6,CBLOL/Brazil
Oxydrean (Matheus Fidalgo),Theusma (Matheus Lima),4,CBLOL/Brazil
Oxydrean (Matheus Fidalgo),element (Arlindo Leal Lana Neto),10,CBLOL/Brazil
Oxydrean (Matheus Fidalgo),huez0rd (Guilherme Moraes),4,CBLOL/Brazil
Oxydrean (Matheus Fidalgo),yeTz (Mateus Vieira),7,CBLOL/Brazil
Riyev (Marcelo Carrara),TheFoxz (Renato de Souza),21,CBLOL/Brazil
Riyev (Marcelo Carrara),Theusma (Matheus Lima),4,CBLOL/Brazil
Riyev (Marcelo Carrara),element (Arlindo Leal Lana Neto),6,CBLOL/Brazil
Riyev (Marcelo Carrara),yeTz (Mateus Vieira),6,CBLOL/Brazil
TheFoxz (Renato de Souza),element (Arlindo Leal Lana Neto),9,CBLOL/Brazil
TheFoxz (Renato de Souza),huez0rd (Guilherme Moraes),4,CBLOL/Brazil
TheFoxz (Renato de Souza),yeTz (Mateus Vieira),3,CBLOL/Brazil
Theusma (Matheus Lima),element (Arlindo Leal Lana Neto),4,CBLOL/Brazil
Theusma (Matheus Lima),yeTz (Mateus Vieira),4,CBLOL/Brazil
element (Arlindo Leal Lana Neto),huez0rd (Guilherme Moraes),4,CBLOL/Brazil
huez0rd (Guilherme Moraes),yeTz (Mateus Vieira),1,CBLOL/Brazil
Danagorn (Daniel Drummond),Goku (Bruno Miyaguchi),17,CBLOL/Brazil
Danagorn (Daniel Drummond),Matsukaze (Pedro Gama),48,CBLOL/Brazil
Danagorn (Daniel Drummond),SkyBart (Mateus Neves),17,CBLOL/Brazil
Espeon (Martin Gonçalves),Goku (Bruno Miyaguchi),17,CBLOL/Brazil
Espeon (Martin Gonçalves),Matsukaze (Pedro Gama),37,CBLOL/Brazil
Espeon (Martin Gonçalves),SkyBart (Mateus Neves),17,CBLOL/Brazil
Goku (Bruno Miyaguchi),Matsukaze (Pedro Gama),22,CBLOL/Brazil
Goku (Bruno Miyaguchi),SkyBart (Mateus Neves),127,CBLOL/Brazil
Matsukaze (Pedro Gama),SkyBart (Mateus Neves),22,CBLOL/Brazil
BruNo (Bruno Oliveira) (Bruno Oliveira),Eryon (Márcio Reis),5,CBLOL/Brazil
BruNo (Bruno Oliveira) (Bruno Oliveira),LEP (Pedro Luiz Marcari),13,CBLOL/Brazil
BruNo (Bruno Oliveira) (Bruno Oliveira),TinOwns (Thiago Sartori),13,CBLOL/Brazil
BruNo (Bruno Oliveira) (Bruno Oliveira),dans (Daniel Dias),5,CBLOL/Brazil
Digolera (Rodrigo Haddad),Eryon (Márcio Reis),6,CBLOL/Brazil
Digolera (Rodrigo Haddad),LEP (Pedro Luiz Marcari),6,CBLOL/Brazil
Digolera (Rodrigo Haddad),TinOwns (Thiago Sartori),6,CBLOL/Brazil
Digolera (Rodrigo Haddad),dans (Daniel Dias),6,CBLOL/Brazil
Eryon (Márcio Reis),LEP (Pedro Luiz Marcari),16,CBLOL/Brazil
Eryon (Márcio Reis),TinOwns (Thiago Sartori),16,CBLOL/Brazil
Eryon (Márcio Reis),dans (Daniel Dias),11,CBLOL/Brazil
DayDream (Kang Kyung-min (강경민)),Emperor (Kim Jin-hyun) (Kim Jin-hyun (김진현)),13,CBLOL/Brazil
DayDream (Kang Kyung-min (강경민)),Loop (Caio Almeida),13,CBLOL/Brazil
DayDream (Kang Kyung-min (강경민)),Mylon (Matheus Borges),13,CBLOL/Brazil
DayDream (Kang Kyung-min (강경민)),takeshi (Murilo Alves),13,CBLOL/Brazil
Emperor (Kim Jin-hyun) (Kim Jin-hyun (김진현)),Loop (Caio Almeida),13,CBLOL/Brazil
Emperor (Kim Jin-hyun) (Kim Jin-hyun (김진현)),Mylon (Matheus Borges),13,CBLOL/Brazil
Emperor (Kim Jin-hyun) (Kim Jin-hyun (김진현)),takeshi (Murilo Alves),13,CBLOL/Brazil
Loop (Caio Almeida),takeshi (Murilo Alves),52,CBLOL/Brazil
Mylon (Matheus Borges),takeshi (Murilo Alves),22,CBLOL/Brazil
Dioud (Hugo Padioleau),Kami (Gabriel Bohm Santos) (Gabriel Santos),39,CBLOL/Brazil
Dioud (Hugo Padioleau),Leko (Whesley Holler),17,CBLOL/Brazil
Dioud (Hugo Padioleau),SirT (Thúlio Carlos),39,CBLOL/Brazil
Dioud (Hugo Padioleau),brTT (Felipe Gonçalves),62,CBLOL/Brazil
Kami (Gabriel Bohm Santos) (Gabriel Santos),Leko (Whesley Holler),19,CBLOL/Brazil
Kami (Gabriel Bohm Santos) (Gabriel Santos),brTT (Felipe Gonçalves),66,CBLOL/Brazil
Leko (Whesley Holler),SirT (Thúlio Carlos),19,CBLOL/Brazil
Leko (Whesley Holler),brTT (Felipe Gonçalves),19,CBLOL/Brazil
SirT (Thúlio Carlos),brTT (Felipe Gonçalves),89,CBLOL/Brazil
Sessh (Bruno Alexandre),Skyer (Felipe Gimenes),4,CBLOL/Brazil
Sessh (Bruno Alexandre),Snowlz (Guilherme Neves),4,CBLOL/Brazil
Sessh (Bruno Alexandre),Thulz (Vinícius Machado),4,CBLOL/Brazil
Sessh (Bruno Alexandre),blury (Daniel Sarkovas),11,CBLOL/Brazil
Skyer (Felipe Gimenes),Snowlz (Guilherme Neves),22,CBLOL/Brazil
Skyer (Felipe Gimenes),Thulz (Vinícius Machado),4,CBLOL/Brazil
Skyer (Felipe Gimenes),blury (Daniel Sarkovas),4,CBLOL/Brazil
Snowlz (Guilherme Neves),Thulz (Vinícius Machado),4,CBLOL/Brazil
Snowlz (Guilherme Neves),blury (Daniel Sarkovas),4,CBLOL/Brazil
Thulz (Vinícius Machado),blury (Daniel Sarkovas),4,CBLOL/Brazil
Alocs (Leonardo Belo),Brucer (Bruno Pereira),4,CBLOL/Brazil
Alocs (Leonardo Belo),Leozuxo (Leonardo Camícia),4,CBLOL/Brazil
Alocs (Leonardo Belo),Robo (Leonardo Souza),26,CBLOL/Brazil
Alocs (Leonardo Belo),SacyR (Gustavo Rossi),4,CBLOL/Brazil
Brucer (Bruno Pereira),Leozuxo (Leonardo Camícia),12,CBLOL/Brazil
Brucer (Bruno Pereira),Robo (Leonardo Souza),46,CBLOL/Brazil
Brucer (Bruno Pereira),SacyR (Gustavo Rossi),74,CBLOL/Brazil
Leozuxo (Leonardo Camícia),Robo (Leonardo Souza),4,CBLOL/Brazil
Leozuxo (Leonardo Camícia),SacyR (Gustavo Rossi),12,CBLOL/Brazil
Robo (Leonardo Souza),SacyR (Gustavo Rossi),31,CBLOL/Brazil
Ayel (Marcelo Mello),Oxydrean (Matheus Fidalgo),3,CBLOL/Brazil
Ayel (Marcelo Mello),TheFoxz (Renato de Souza),3,CBLOL/Brazil
Ayel (Marcelo Mello),element (Arlindo Leal Lana Neto),3,CBLOL/Brazil
Ayel (Marcelo Mello),huez0rd (Guilherme Moraes),3,CBLOL/Brazil
Cansado (Matheus Guimarães),Professor (Matheus Leirião),3,CBLOL/Brazil
Cansado (Matheus Guimarães),Tay (Rodrigo Panisa),3,CBLOL/Brazil
Cansado (Matheus Guimarães),Zantins (Luccas Zanqueta),7,CBLOL/Brazil
Cansado (Matheus Guimarães),Zuao (João Vitor Morais),3,CBLOL/Brazil
Professor (Matheus Leirião),Tay (Rodrigo Panisa),27,CBLOL/Brazil
Professor (Matheus Leirião),Zantins (Luccas Zanqueta),27,CBLOL/Brazil
Professor (Matheus Leirião),Zuao (João Vitor Morais),58,CBLOL/Brazil
Tay (Rodrigo Panisa),Zantins (Luccas Zanqueta),46,CBLOL/Brazil
Tay (Rodrigo Panisa),Zuao (João Vitor Morais),4,CBLOL/Brazil
Zantins (Luccas Zanqueta),Zuao (João Vitor Morais),5,CBLOL/Brazil
Aoshi (Franklin Coutinho),Skyer (Felipe Gimenes),20,CBLOL/Brazil
Aoshi (Franklin Coutinho),StoneD YoDa (Felipe Noronha),30,CBLOL/Brazil
Aoshi (Franklin Coutinho),pbo (Pablo Yuri),25,CBLOL/Brazil
Nappon (Carlos Rücker),Skyer (Felipe Gimenes),20,CBLOL/Brazil
Nappon (Carlos Rücker),StoneD YoDa (Felipe Noronha),35,CBLOL/Brazil
Nappon (Carlos Rücker),pbo (Pablo Yuri),29,CBLOL/Brazil
Skyer (Felipe Gimenes),StoneD YoDa (Felipe Noronha),18,CBLOL/Brazil
Skyer (Felipe Gimenes),Wos (Willyan Bonpam),20,CBLOL/Brazil
StoneD YoDa (Felipe Noronha),Wos (Willyan Bonpam),30,CBLOL/Brazil
StoneD YoDa (Felipe Noronha),pbo (Pablo Yuri),12,CBLOL/Brazil
Wos (Willyan Bonpam),pbo (Pablo Yuri),82,CBLOL/Brazil
Krow (Lucas Rabaça),Professor (Matheus Leirião),24,CBLOL/Brazil
Krow (Lucas Rabaça),Tay (Rodrigo Panisa),24,CBLOL/Brazil
Krow (Lucas Rabaça),TheFoxz (Renato de Souza),24,CBLOL/Brazil
Krow (Lucas Rabaça),Zantins (Luccas Zanqueta),24,CBLOL/Brazil
Professor (Matheus Leirião),TheFoxz (Renato de Souza),24,CBLOL/Brazil
Tay (Rodrigo Panisa),TheFoxz (Renato de Souza),25,CBLOL/Brazil
TheFoxz (Renato de Souza),Zantins (Luccas Zanqueta),44,CBLOL/Brazil
Alocs (Leonardo Belo),Jockster (Luan Cardoso),25,CBLOL/Brazil
Alocs (Leonardo Belo),Yang (Felipe Zhao) (Felipe Zhao),25,CBLOL/Brazil
Alocs (Leonardo Belo),micaO (Micael Rodrigues),25,CBLOL/Brazil
Alocs (Leonardo Belo),tockers (Gabriel Claumann),25,CBLOL/Brazil
Brucer (Bruno Pereira),Caos (Jonas Vriesman) (Jonas Vriesman),46,CBLOL/Brazil
Brucer (Bruno Pereira),Eryon (Márcio Reis),50,CBLOL/Brazil
Caos (Jonas Vriesman) (Jonas Vriesman),Eryon (Márcio Reis),59,CBLOL/Brazil
Caos (Jonas Vriesman) (Jonas Vriesman),Leozuxo (Leonardo Camícia),8,CBLOL/Brazil
Caos (Jonas Vriesman) (Jonas Vriesman),Robo (Leonardo Souza),19,CBLOL/Brazil
Caos (Jonas Vriesman) (Jonas Vriesman),SacyR (Gustavo Rossi),46,CBLOL/Brazil
Eryon (Márcio Reis),Leozuxo (Leonardo Camícia),8,CBLOL/Brazil
Eryon (Márcio Reis),Robo (Leonardo Souza),19,CBLOL/Brazil
Eryon (Márcio Reis),SacyR (Gustavo Rossi),50,CBLOL/Brazil
Danagorn (Daniel Drummond),Vash (Guilherme Del Buono),41,CBLOL/Brazil
Danagorn (Daniel Drummond),element (Arlindo Leal Lana Neto),20,CBLOL/Brazil
Espeon (Martin Gonçalves),Vash (Guilherme Del Buono),31,CBLOL/Brazil
Espeon (Martin Gonçalves),element (Arlindo Leal Lana Neto),31,CBLOL/Brazil
Matsukaze (Pedro Gama),Vash (Guilherme Del Buono),34,CBLOL/Brazil
Matsukaze (Pedro Gama),element (Arlindo Leal Lana Neto),20,CBLOL/Brazil
Vash (Guilherme Del Buono),element (Arlindo Leal Lana Neto),31,CBLOL/Brazil
BruNo (Bruno Oliveira) (Bruno Oliveira),Minerva (Gustavo Alves),8,CBLOL/Brazil
BruNo (Bruno Oliveira) (Bruno Oliveira),ziriguidun (Pedro Vilarinho),8,CBLOL/Brazil
LEP (Pedro Luiz Marcari),ziriguidun (Pedro Vilarinho),46,CBLOL/Brazil
Minerva (Gustavo Alves),ziriguidun (Pedro Vilarinho),46,CBLOL/Brazil
TinOwns (Thiago Sartori),ziriguidun (Pedro Vilarinho),46,CBLOL/Brazil
dans (Daniel Dias),ziriguidun (Pedro Vilarinho),9,CBLOL/Brazil
Leko (Whesley Holler),Loop (Caio Almeida),20,CBLOL/Brazil
Leko (Whesley Holler),esA (Eidi Yanagimachi),20,CBLOL/Brazil
Loop (Caio Almeida),Revolta (Gabriel Henud),36,CBLOL/Brazil
Loop (Caio Almeida),esA (Eidi Yanagimachi),20,CBLOL/Brazil
Revolta (Gabriel Henud),esA (Eidi Yanagimachi),66,CBLOL/Brazil
esA (Eidi Yanagimachi),takeshi (Murilo Alves),106,CBLOL/Brazil
Dioud (Hugo Padioleau),Mylon (Matheus Borges),22,CBLOL/Brazil
Kami (Gabriel Bohm Santos) (Gabriel Santos),Mylon (Matheus Borges),107,CBLOL/Brazil
Mylon (Matheus Borges),SirT (Thúlio Carlos),85,CBLOL/Brazil
BocaJR (Emerson Alencar),Fafnyr (Felipe Kiss Vieira),4,CBLOL/Brazil
BocaJR (Emerson Alencar),Luskka (Lucas Felipe Rentechen),25,CBLOL/Brazil
BocaJR (Emerson Alencar),Ranger (Filipe Brombilla),23,CBLOL/Brazil
BocaJR (Emerson Alencar),Snowlz (Guilherme Neves),4,CBLOL/Brazil
BocaJR (Emerson Alencar),Yaltz (Evandro de Cerqueira),4,CBLOL/Brazil
Fafnyr (Felipe Kiss Vieira),Luskka (Lucas Felipe Rentechen),4,CBLOL/Brazil
Fafnyr (Felipe Kiss Vieira),Ranger (Filipe Brombilla),4,CBLOL/Brazil
Fafnyr (Felipe Kiss Vieira),Snowlz (Guilherme Neves),4,CBLOL/Brazil
Fafnyr (Felipe Kiss Vieira),Yaltz (Evandro de Cerqueira),4,CBLOL/Brazil
Luskka (Lucas Felipe Rentechen),Ranger (Filipe Brombilla),78,CBLOL/Brazil
Luskka (Lucas Felipe Rentechen),Snowlz (Guilherme Neves),4,CBLOL/Brazil
Luskka (Lucas Felipe Rentechen),Yaltz (Evandro de Cerqueira),4,CBLOL/Brazil
Ranger (Filipe Brombilla),Snowlz (Guilherme Neves),4,CBLOL/Brazil
Ranger (Filipe Brombilla),Yaltz (Evandro de Cerqueira),4,CBLOL/Brazil
Snowlz (Guilherme Neves),Yaltz (Evandro de Cerqueira),4,CBLOL/Brazil
Aoshi (Franklin Coutinho),Djokovic (Thiago Maia),23,CBLOL/Brazil
Djokovic (Thiago Maia),Nappon (Carlos Rücker),36,CBLOL/Brazil
Djokovic (Thiago Maia),StoneD YoDa (Felipe Noronha),10,CBLOL/Brazil
Djokovic (Thiago Maia),Wos (Willyan Bonpam),53,CBLOL/Brazil
Djokovic (Thiago Maia),pbo (Pablo Yuri),53,CBLOL/Brazil
Leozuxo (Leonardo Camícia),Tay (Rodrigo Panisa),1,CBLOL/Brazil
Leozuxo (Leonardo Camícia),TheFoxz (Renato de Souza),1,CBLOL/Brazil
Leozuxo (Leonardo Camícia),Zantins (Luccas Zanqueta),1,CBLOL/Brazil
Leozuxo (Leonardo Camícia),iVillain (William Hoag),1,CBLOL/Brazil
Leozuxo (Leonardo Camícia),verfix (Jorge Silveira),1,CBLOL/Brazil
Tay (Rodrigo Panisa),iVillain (William Hoag),1,CBLOL/Brazil
Tay (Rodrigo Panisa),verfix (Jorge Silveira),1,CBLOL/Brazil
TheFoxz (Renato de Souza),iVillain (William Hoag),1,CBLOL/Brazil
TheFoxz (Renato de Souza),verfix (Jorge Silveira),1,CBLOL/Brazil
Zantins (Luccas Zanqueta),iVillain (William Hoag),1,CBLOL/Brazil
Zantins (Luccas Zanqueta),verfix (Jorge Silveira),13,CBLOL/Brazil
iVillain (William Hoag),verfix (Jorge Silveira),1,CBLOL/Brazil
Abaxial (Alexander Haibel),Loop (Caio Almeida),8,CBLOL/Brazil
Abaxial (Alexander Haibel),Revolta (Gabriel Henud),124,CBLOL/Brazil
Abaxial (Alexander Haibel),Yang (Felipe Zhao) (Felipe Zhao),124,CBLOL/Brazil
Abaxial (Alexander Haibel),micaO (Micael Rodrigues),81,CBLOL/Brazil
Abaxial (Alexander Haibel),tockers (Gabriel Claumann),81,CBLOL/Brazil
Loop (Caio Almeida),Yang (Felipe Zhao) (Felipe Zhao),2,CBLOL/Brazil
Loop (Caio Almeida),micaO (Micael Rodrigues),2,CBLOL/Brazil
Loop (Caio Almeida),tockers (Gabriel Claumann),2,CBLOL/Brazil
