From,To
Kubon (Jakub Turewicz),Libik (Marek Kręgiel)
Mokatte (Konrad Kukier),Czaru (Krystian Przybylski)
Mokatte (Konrad Kukier),Makler (Marek Kukier)
Mokatte (Konrad Kukier),Libik (Marek Kręgiel)
Czaru (Krystian Przybylski),Makler (Marek Kukier)
Czaru (Krystian Przybylski),Libik (Marek Kręgiel)
Makler (Marek Kukier),Libik (Marek Kręgiel)
Extinkt (Vytautas Mėlinauskas),Malunoo (Tobias Magnusson)
Extinkt (Vytautas Mėlinauskas),Bjergsen (Søren Bjerg)
Extinkt (Vytautas Mėlinauskas),Freeze (Aleš Kněžínek)
Extinkt (Vytautas Mėlinauskas),Deficio (Martin Lynge)
Mimer (Mimer Ahlström),Malunoo (Tobias Magnusson)
Mimer (Mimer Ahlström),Bjergsen (Søren Bjerg)
Mimer (Mimer Ahlström),Freeze (Aleš Kněžínek)
Mimer (Mimer Ahlström),Deficio (Martin Lynge)
Malunoo (Tobias Magnusson),Bjergsen (Søren Bjerg)
Malunoo (Tobias Magnusson),Freeze (Aleš Kněžínek)
Malunoo (Tobias Magnusson),Deficio (Martin Lynge)
Bjergsen (Søren Bjerg),Freeze (Aleš Kněžínek)
Freeze (Aleš Kněžínek),Deficio (Martin Lynge)
Kerp (Adrian Wetekam),Araneae (Alvar Martín Aleñar)
Kerp (Adrian Wetekam),ForellenLord (Carl Lückmann)
Kerp (Adrian Wetekam),Creaton (Jakub Grzegorzewski)
Kerp (Adrian Wetekam),Jree (Alexander Bergström)
Araneae (Alvar Martín Aleñar),ForellenLord (Carl Lückmann)
Araneae (Alvar Martín Aleñar),Creaton (Jakub Grzegorzewski)
Araneae (Alvar Martín Aleñar),Jree (Alexander Bergström)
ForellenLord (Carl Lückmann),Creaton (Jakub Grzegorzewski)
ForellenLord (Carl Lückmann),Jree (Alexander Bergström)
Creaton (Jakub Grzegorzewski),Jree (Alexander Bergström)
Wickd (Mike Petersen),Shook (Ilyas Hartsema)
Wickd (Mike Petersen),Tabzz (Erik van Helvert)
Wickd (Mike Petersen),Nyph (Patrick Funke)
Shook (Ilyas Hartsema),Froggen (Henrik Hansen)
Shook (Ilyas Hartsema),Tabzz (Erik van Helvert)
Shook (Ilyas Hartsema),Nyph (Patrick Funke)
Froggen (Henrik Hansen),Tabzz (Erik van Helvert)
Froggen (Henrik Hansen),Nyph (Patrick Funke)
Tabzz (Erik van Helvert),Nyph (Patrick Funke)
YoungBuck (Joey Steltenpool),Amazing (Maurice Stückenschneider) (Maurice Stückenschneider)
YoungBuck (Joey Steltenpool),cowTard (Viktor Stymne)
YoungBuck (Joey Steltenpool),FORG1VEN (Konstantinos Tzortziou)
YoungBuck (Joey Steltenpool),Unlimited (Petar Georgiev) (Petar Georgiev)
Amazing (Maurice Stückenschneider) (Maurice Stückenschneider),cowTard (Viktor Stymne)
Amazing (Maurice Stückenschneider) (Maurice Stückenschneider),FORG1VEN (Konstantinos Tzortziou)
Amazing (Maurice Stückenschneider) (Maurice Stückenschneider),Unlimited (Petar Georgiev) (Petar Georgiev)
cowTard (Viktor Stymne),FORG1VEN (Konstantinos Tzortziou)
cowTard (Viktor Stymne),Unlimited (Petar Georgiev) (Petar Georgiev)
FORG1VEN (Konstantinos Tzortziou),Unlimited (Petar Georgiev) (Petar Georgiev)
sOAZ (Paul Boyer),Rekkles (Martin Larsson)
Cyanide (Lauri Happonen),Rekkles (Martin Larsson)
xPeke (Enrique Cedeño),Rekkles (Martin Larsson)
Rekkles (Martin Larsson),YellOwStaR (Bora Kim)
Darien (Evgeny Mazaev),Edward (Eduard Abgaryan)
Zorozero (Morten Rosenquist),Hulberto (Johan Johansson)
Zorozero (Morten Rosenquist),Nukeduck (Erlend Holm)
Zorozero (Morten Rosenquist),fury III (Jakob Burke)
Zorozero (Morten Rosenquist),Edward (Eduard Abgaryan)
Diamondprox (Daniel Reshetnikov),Edward (Eduard Abgaryan)
Hulberto (Johan Johansson),Nukeduck (Erlend Holm)
Hulberto (Johan Johansson),fury III (Jakob Burke)
Hulberto (Johan Johansson),Edward (Eduard Abgaryan)
Alex Ich (Aleksei Ichetovkin),Edward (Eduard Abgaryan)
Nukeduck (Erlend Holm),fury III (Jakob Burke)
Nukeduck (Erlend Holm),Edward (Eduard Abgaryan)
Genja (Evgeny Andryushin),Edward (Eduard Abgaryan)
fury III (Jakob Burke),Edward (Eduard Abgaryan)
Kev1n (Kevin Rubiszewski),Araneae (Alvar Martín Aleñar)
Kev1n (Kevin Rubiszewski),KottenX (Markus Tingvall)
Kev1n (Kevin Rubiszewski),Kerp (Adrian Wetekam)
Kev1n (Kevin Rubiszewski),Creaton (Jakub Grzegorzewski)
Kev1n (Kevin Rubiszewski),Jree (Alexander Bergström)
KottenX (Markus Tingvall),Kerp (Adrian Wetekam)
KottenX (Markus Tingvall),Creaton (Jakub Grzegorzewski)
KottenX (Markus Tingvall),Jree (Alexander Bergström)
Fredy122 (Simon Payne),Svenskeren (Dennis Johnsen)
Fredy122 (Simon Payne),Jesiz (Jesse Le)
Fredy122 (Simon Payne),CandyPanda (Adrian Wübbelmann)
Fredy122 (Simon Payne),nRated (Christoph Seitz)
Svenskeren (Dennis Johnsen),Jesiz (Jesse Le)
Svenskeren (Dennis Johnsen),CandyPanda (Adrian Wübbelmann)
Svenskeren (Dennis Johnsen),nRated (Christoph Seitz)
Jesiz (Jesse Le),CandyPanda (Adrian Wübbelmann)
Jesiz (Jesse Le),nRated (Christoph Seitz)
CandyPanda (Adrian Wübbelmann),nRated (Christoph Seitz)
Mimer (Mimer Ahlström),Impaler (Matthew Taylor)
Mimer (Mimer Ahlström),Moopz (Amaury Minguerche)
Mimer (Mimer Ahlström),SELFIE (Marcin Wolski)
Mimer (Mimer Ahlström),MrRalleZ (Rasmus Skinneholm)
Mimer (Mimer Ahlström),Migxa (Maxime Poinssot)
Impaler (Matthew Taylor),Moopz (Amaury Minguerche)
Impaler (Matthew Taylor),SELFIE (Marcin Wolski)
Impaler (Matthew Taylor),MrRalleZ (Rasmus Skinneholm)
Impaler (Matthew Taylor),Migxa (Maxime Poinssot)
Moopz (Amaury Minguerche),MrRalleZ (Rasmus Skinneholm)
Moopz (Amaury Minguerche),Migxa (Maxime Poinssot)
SELFIE (Marcin Wolski),MrRalleZ (Rasmus Skinneholm)
SELFIE (Marcin Wolski),Migxa (Maxime Poinssot)
MrRalleZ (Rasmus Skinneholm),Migxa (Maxime Poinssot)
Xaxus (Marcin Mączka),Jankos (Marcin Jankowski)
Xaxus (Marcin Mączka),Overpow (Remigiusz Pusch)
Xaxus (Marcin Mączka),Celaver (Paweł Koprianiuk)
Xaxus (Marcin Mączka),Vander (Oskar Bogdan)
Jankos (Marcin Jankowski),Overpow (Remigiusz Pusch)
Jankos (Marcin Jankowski),Celaver (Paweł Koprianiuk)
Jankos (Marcin Jankowski),Vander (Oskar Bogdan)
Overpow (Remigiusz Pusch),Celaver (Paweł Koprianiuk)
Overpow (Remigiusz Pusch),Vander (Oskar Bogdan)
Celaver (Paweł Koprianiuk),Vander (Oskar Bogdan)
sOAZ (Paul Boyer),xPeke (Enrique Cedeño)
Cyanide (Lauri Happonen),xPeke (Enrique Cedeño)
xPeke (Enrique Cedeño),Rekkles (Martin Larsson)
xPeke (Enrique Cedeño),YellOwStaR (Bora Kim)
Odoamne (Andrei Pascu),Santorin (Lucas Tao Kilmer Larsen)
Odoamne (Andrei Pascu),Febiven (Fabien Diepstraten)
Odoamne (Andrei Pascu),Hjarnan (Petter Freyschuss)
Odoamne (Andrei Pascu),Voidle (Erih Sommermann)
Santorin (Lucas Tao Kilmer Larsen),Febiven (Fabien Diepstraten)
Santorin (Lucas Tao Kilmer Larsen),Hjarnan (Petter Freyschuss)
Santorin (Lucas Tao Kilmer Larsen),Voidle (Erih Sommermann)
Febiven (Fabien Diepstraten),Hjarnan (Petter Freyschuss)
Febiven (Fabien Diepstraten),Voidle (Erih Sommermann)
Hjarnan (Petter Freyschuss),Voidle (Erih Sommermann)
Babunia (Bartosz Dzikowski),Kikis (Mateusz Szkudlarek)
Babunia (Bartosz Dzikowski),niQ (Sebastian Robak)
Babunia (Bartosz Dzikowski),Woolite (Paweł Pruski)
Babunia (Bartosz Dzikowski),SuperAZE (Piotr Prokop)
Kikis (Mateusz Szkudlarek),niQ (Sebastian Robak)
Kikis (Mateusz Szkudlarek),Woolite (Paweł Pruski)
Kikis (Mateusz Szkudlarek),SuperAZE (Piotr Prokop)
niQ (Sebastian Robak),Woolite (Paweł Pruski)
niQ (Sebastian Robak),SuperAZE (Piotr Prokop)
Woolite (Paweł Pruski),SuperAZE (Piotr Prokop)
Zorozero (Morten Rosenquist),Freeze (Aleš Kněžínek)
Hulberto (Johan Johansson),Freeze (Aleš Kněžínek)
Hulberto (Johan Johansson),Mithy (Alfonso Aguirre Rodriguez)
Nukeduck (Erlend Holm),Freeze (Aleš Kněžínek)
Nukeduck (Erlend Holm),Mithy (Alfonso Aguirre Rodriguez)
Freeze (Aleš Kněžínek),Mithy (Alfonso Aguirre Rodriguez)
YoungBuck (Joey Steltenpool),Airwaks (Karim Benghalia)
YoungBuck (Joey Steltenpool),Brokenshard (Ram Djemal)
YoungBuck (Joey Steltenpool),Mazzerin (Džiugas Repčys)
YoungBuck (Joey Steltenpool),SorenXD (Søren Frederiksen)
YoungBuck (Joey Steltenpool),Woolite (Paweł Pruski)
Airwaks (Karim Benghalia),cowTard (Viktor Stymne)
Airwaks (Karim Benghalia),Mazzerin (Džiugas Repčys)
Airwaks (Karim Benghalia),Woolite (Paweł Pruski)
Airwaks (Karim Benghalia),Unlimited (Petar Georgiev) (Petar Georgiev)
Brokenshard (Ram Djemal),SorenXD (Søren Frederiksen)
Brokenshard (Ram Djemal),Woolite (Paweł Pruski)
Brokenshard (Ram Djemal),Unlimited (Petar Georgiev) (Petar Georgiev)
cowTard (Viktor Stymne),Woolite (Paweł Pruski)
Mazzerin (Džiugas Repčys),Woolite (Paweł Pruski)
Mazzerin (Džiugas Repčys),Unlimited (Petar Georgiev) (Petar Georgiev)
SorenXD (Søren Frederiksen),Woolite (Paweł Pruski)
SorenXD (Søren Frederiksen),Unlimited (Petar Georgiev) (Petar Georgiev)
Woolite (Paweł Pruski),Unlimited (Petar Georgiev) (Petar Georgiev)
Darien (Evgeny Mazaev),niQ (Sebastian Robak)
Cabochard (Lucas Simon-Meslet),loulex (Jean-Victor Burgevin)
Cabochard (Lucas Simon-Meslet),niQ (Sebastian Robak)
Cabochard (Lucas Simon-Meslet),fury III (Jakob Burke)
Cabochard (Lucas Simon-Meslet),Hiiva (Aleksi Kaikkonen)
Kubon (Jakub Turewicz),Diamondprox (Daniel Reshetnikov)
Kubon (Jakub Turewicz),loulex (Jean-Victor Burgevin)
Kubon (Jakub Turewicz),niQ (Sebastian Robak)
Kubon (Jakub Turewicz),Genja (Evgeny Andryushin)
Kubon (Jakub Turewicz),Edward (Eduard Abgaryan)
Diamondprox (Daniel Reshetnikov),niQ (Sebastian Robak)
loulex (Jean-Victor Burgevin),niQ (Sebastian Robak)
loulex (Jean-Victor Burgevin),Genja (Evgeny Andryushin)
loulex (Jean-Victor Burgevin),fury III (Jakob Burke)
loulex (Jean-Victor Burgevin),Edward (Eduard Abgaryan)
loulex (Jean-Victor Burgevin),Hiiva (Aleksi Kaikkonen)
niQ (Sebastian Robak),Genja (Evgeny Andryushin)
niQ (Sebastian Robak),fury III (Jakob Burke)
niQ (Sebastian Robak),Edward (Eduard Abgaryan)
niQ (Sebastian Robak),Hiiva (Aleksi Kaikkonen)
fury III (Jakob Burke),Hiiva (Aleksi Kaikkonen)
Mimer (Mimer Ahlström),wewillfailer (Bram de Winter)
Mimer (Mimer Ahlström),kaSing (Raymond Tsang)
Impaler (Matthew Taylor),wewillfailer (Bram de Winter)
Impaler (Matthew Taylor),kaSing (Raymond Tsang)
SELFIE (Marcin Wolski),wewillfailer (Bram de Winter)
SELFIE (Marcin Wolski),kaSing (Raymond Tsang)
MrRalleZ (Rasmus Skinneholm),wewillfailer (Bram de Winter)
MrRalleZ (Rasmus Skinneholm),kaSing (Raymond Tsang)
Airwaks (Karim Benghalia),SorenXD (Søren Frederiksen)
Kubon (Jakub Turewicz),Krislund (Kristoffer Pedersen)
Diamondprox (Daniel Reshetnikov),Krislund (Kristoffer Pedersen)
niQ (Sebastian Robak),Krislund (Kristoffer Pedersen)
Krislund (Kristoffer Pedersen),Edward (Eduard Abgaryan)
Odoamne (Andrei Pascu),Trashy (Jonas Andersen)
Odoamne (Andrei Pascu),AoD (Baltat Alin-Ciprian)
Trashy (Jonas Andersen),Febiven (Fabien Diepstraten)
Trashy (Jonas Andersen),Hjarnan (Petter Freyschuss)
Trashy (Jonas Andersen),AoD (Baltat Alin-Ciprian)
Febiven (Fabien Diepstraten),AoD (Baltat Alin-Ciprian)
Hjarnan (Petter Freyschuss),AoD (Baltat Alin-Ciprian)
SmittyJ (Lennart Warkus),Kikis (Mateusz Szkudlarek)
SmittyJ (Lennart Warkus),Watdefox (Hamphus Myhre)
SmittyJ (Lennart Warkus),Zyzz (Haïdar Mezidi)
SmittyJ (Lennart Warkus),Zytan (Niklas Lakaniemi)
Kikis (Mateusz Szkudlarek),Watdefox (Hamphus Myhre)
Kikis (Mateusz Szkudlarek),Zyzz (Haïdar Mezidi)
Kikis (Mateusz Szkudlarek),Zytan (Niklas Lakaniemi)
Watdefox (Hamphus Myhre),Zyzz (Haïdar Mezidi)
Watdefox (Hamphus Myhre),Zytan (Niklas Lakaniemi)
Zyzz (Haïdar Mezidi),Zytan (Niklas Lakaniemi)
Vizicsacsi (Tamás Kiss),Gilius (Erberk Demir)
Vizicsacsi (Tamás Kiss),PowerOfEvil (Tristan Schrage)
Vizicsacsi (Tamás Kiss),Vardags (Pontus Dahlblom)
Vizicsacsi (Tamás Kiss),Hylissang (Zdravets Galabov)
Gilius (Erberk Demir),PowerOfEvil (Tristan Schrage)
Gilius (Erberk Demir),Vardags (Pontus Dahlblom)
Gilius (Erberk Demir),Hylissang (Zdravets Galabov)
PowerOfEvil (Tristan Schrage),Vardags (Pontus Dahlblom)
PowerOfEvil (Tristan Schrage),Hylissang (Zdravets Galabov)
Vardags (Pontus Dahlblom),Hylissang (Zdravets Galabov)
ZvenE (Simon Svensson),Mister (Lukas Sargelis)
ZvenE (Simon Svensson),Flezeth (Saulius Lukošius)
ZvenE (Simon Svensson),Ladooscuro (Alejandro Oyonate)
ZvenE (Simon Svensson),Angelas (Laurynas Brovka)
ZvenE (Simon Svensson),Werlyb (Jorge Casanovas)
ZvenE (Simon Svensson),Fr3deric (Federico Lizondo)
ZvenE (Simon Svensson),xPePii (Isaac Flores)
ZvenE (Simon Svensson),Adryh (Adrián Pérez)
ZvenE (Simon Svensson),Rydle (Fernando Soria)
ZvenE (Simon Svensson),Kev1n (Kevin Rubiszewski)
ZvenE (Simon Svensson),H0R0 (Cho Jae-hwan (조재환))
ZvenE (Simon Svensson),Ryu (Ryu Sang-wook (류상욱))
ZvenE (Simon Svensson),Creaton (Jakub Grzegorzewski)
ZvenE (Simon Svensson),Jree (Alexander Bergström)
Mister (Lukas Sargelis),Flezeth (Saulius Lukošius)
Mister (Lukas Sargelis),Ladooscuro (Alejandro Oyonate)
Mister (Lukas Sargelis),Angelas (Laurynas Brovka)
Mister (Lukas Sargelis),Werlyb (Jorge Casanovas)
Mister (Lukas Sargelis),Fr3deric (Federico Lizondo)
Mister (Lukas Sargelis),xPePii (Isaac Flores)
Mister (Lukas Sargelis),Adryh (Adrián Pérez)
Mister (Lukas Sargelis),Rydle (Fernando Soria)
Mister (Lukas Sargelis),Kev1n (Kevin Rubiszewski)
Mister (Lukas Sargelis),H0R0 (Cho Jae-hwan (조재환))
Mister (Lukas Sargelis),Ryu (Ryu Sang-wook (류상욱))
Mister (Lukas Sargelis),Creaton (Jakub Grzegorzewski)
Mister (Lukas Sargelis),Jree (Alexander Bergström)
Flezeth (Saulius Lukošius),Ladooscuro (Alejandro Oyonate)
Flezeth (Saulius Lukošius),Angelas (Laurynas Brovka)
Flezeth (Saulius Lukošius),Werlyb (Jorge Casanovas)
Flezeth (Saulius Lukošius),Fr3deric (Federico Lizondo)
Flezeth (Saulius Lukošius),xPePii (Isaac Flores)
Flezeth (Saulius Lukošius),Adryh (Adrián Pérez)
Flezeth (Saulius Lukošius),Rydle (Fernando Soria)
Flezeth (Saulius Lukošius),Kev1n (Kevin Rubiszewski)
Flezeth (Saulius Lukošius),H0R0 (Cho Jae-hwan (조재환))
Flezeth (Saulius Lukošius),Ryu (Ryu Sang-wook (류상욱))
Flezeth (Saulius Lukošius),Creaton (Jakub Grzegorzewski)
Flezeth (Saulius Lukošius),Jree (Alexander Bergström)
Ladooscuro (Alejandro Oyonate),Angelas (Laurynas Brovka)
Ladooscuro (Alejandro Oyonate),Werlyb (Jorge Casanovas)
Ladooscuro (Alejandro Oyonate),Fr3deric (Federico Lizondo)
Ladooscuro (Alejandro Oyonate),xPePii (Isaac Flores)
Ladooscuro (Alejandro Oyonate),Adryh (Adrián Pérez)
Ladooscuro (Alejandro Oyonate),Rydle (Fernando Soria)
Ladooscuro (Alejandro Oyonate),Kev1n (Kevin Rubiszewski)
Ladooscuro (Alejandro Oyonate),H0R0 (Cho Jae-hwan (조재환))
Ladooscuro (Alejandro Oyonate),Ryu (Ryu Sang-wook (류상욱))
Ladooscuro (Alejandro Oyonate),Creaton (Jakub Grzegorzewski)
Ladooscuro (Alejandro Oyonate),Jree (Alexander Bergström)
Angelas (Laurynas Brovka),Werlyb (Jorge Casanovas)
Angelas (Laurynas Brovka),Fr3deric (Federico Lizondo)
Angelas (Laurynas Brovka),xPePii (Isaac Flores)
Angelas (Laurynas Brovka),Adryh (Adrián Pérez)
Angelas (Laurynas Brovka),Rydle (Fernando Soria)
Angelas (Laurynas Brovka),Kev1n (Kevin Rubiszewski)
Angelas (Laurynas Brovka),H0R0 (Cho Jae-hwan (조재환))
Angelas (Laurynas Brovka),Ryu (Ryu Sang-wook (류상욱))
Angelas (Laurynas Brovka),Creaton (Jakub Grzegorzewski)
Angelas (Laurynas Brovka),Jree (Alexander Bergström)
Werlyb (Jorge Casanovas),Fr3deric (Federico Lizondo)
Werlyb (Jorge Casanovas),xPePii (Isaac Flores)
Werlyb (Jorge Casanovas),Adryh (Adrián Pérez)
Werlyb (Jorge Casanovas),Rydle (Fernando Soria)
Werlyb (Jorge Casanovas),Kev1n (Kevin Rubiszewski)
Werlyb (Jorge Casanovas),H0R0 (Cho Jae-hwan (조재환))
Werlyb (Jorge Casanovas),Ryu (Ryu Sang-wook (류상욱))
Werlyb (Jorge Casanovas),Creaton (Jakub Grzegorzewski)
Werlyb (Jorge Casanovas),Jree (Alexander Bergström)
Fr3deric (Federico Lizondo),xPePii (Isaac Flores)
Fr3deric (Federico Lizondo),Adryh (Adrián Pérez)
Fr3deric (Federico Lizondo),Rydle (Fernando Soria)
Fr3deric (Federico Lizondo),Kev1n (Kevin Rubiszewski)
